股票代號,股票名稱,權重(%),持有股數,股數變化,狀態
2330,台積電,8.8538,1675000.0,-22000.0,🔻 減少
3017,奇鋐,6.9544,1307000.0,-17000.0,🔻 減少
6669,緯穎,6.3822,424000.0,-6000.0,🔻 減少
5536,聖暉*,6.3076,2278000.0,0.0,➖ 持平
2345,智邦,4.7763,1123000.0,0.0,➖ 持平
2360,致茂,3.7286,1350000.0,-19000.0,🔻 減少
6805,富世達,3.2418,577000.0,0.0,➖ 持平
8299,群聯,3.1641,690000.0,0.0,➖ 持平
2449,京元電子,3.1287,4008000.0,-52000.0,🔻 減少
6139,亞翔,2.9113,1412000.0,-17000.0,🔻 減少
2368,金像電,2.8083,1151000.0,-13000.0,🔻 減少
2383,台光電,2.6925,469000.0,-6000.0,🔻 減少
2441,超豐,2.5502,8195000.0,-101000.0,🔻 減少
3264,欣銓,2.4722,6924000.0,-86000.0,🔻 減少
6257,矽格,2.4367,6357000.0,-89000.0,🔻 減少
3665,貿聯-KY,2.3696,438136.0,-6000.0,🔻 減少
2308,台達電,2.2823,682000.0,-9000.0,🔻 減少
3036,文曄,2.2524,4596000.0,-69000.0,🔻 減少
5439,高技,2.2331,1972000.0,-27000.0,🔻 減少
2059,川湖,2.1959,170000.0,-2000.0,🔻 減少
3231,緯創,2.0308,3960000.0,-25000.0,🔻 減少
2421,建準,1.8964,3365000.0,-63000.0,🔻 減少
2428,興勤,1.8586,3096000.0,-42000.0,🔻 減少
2451,創見,1.824,2911000.0,-38000.0,🔻 減少
6274,台燿,1.5794,906000.0,-10000.0,🔻 減少
2316,楠梓電,1.5204,4217000.0,-59000.0,🔻 減少
2472,立隆電,1.4438,3891000.0,-55000.0,🔻 減少
2317,鴻海,1.4074,1783000.0,0.0,➖ 持平
3491,昇達科,1.3135,547000.0,0.0,➖ 持平
2404,漢唐,1.199,364000.0,0.0,➖ 持平
7769,鴻勁,1.1392,96000.0,0.0,➖ 持平
8358,金居,0.7285,781000.0,0.0,➖ 持平
4958,臻鼎-KY,0.7253,1434000.0,0.0,➖ 持平
1785,光洋科,0.6935,2975000.0,-17000.0,🔻 減少
3008,大立光,0.5426,65000.0,0.0,➖ 持平
3711,日月光投控,0.5135,610000.0,-55000.0,🔻 減少
5289,宜鼎,0.4963,278000.0,-2000.0,🔻 減少
3706,神達,0.4338,1500400.0,-1500000.0,🔻 減少
3324,雙鴻,0.382,107000.0,-1000.0,🔻 減少
3443,創意,0.3701,50000.0,-49000.0,🔻 減少
8210,勤誠,0.3508,103000.0,-1000.0,🔻 減少
6177,達麗,0.329,1763350.0,-320000.0,🔻 減少
2327,國巨*,0.2916,372000.0,-5000.0,🔻 減少
2481,強茂,0.2893,1028000.0,-596000.0,🔻 減少
9938,百和,0.2603,1461000.0,0.0,➖ 持平
6446,藥華藥,0.2269,132583.0,0.0,➖ 持平
8464,億豐,0.1847,144000.0,0.0,➖ 持平
6472,保瑞,0.1741,100000.0,0.0,➖ 持平
2885,元大金,0.1564,1117420.0,0.0,➖ 持平
8996,高力,0.1523,78000.0,0.0,➖ 持平
1319,東陽,0.1217,360000.0,0.0,➖ 持平
3529,力旺,0.0897,15000.0,0.0,➖ 持平
4441,振大環球,0.0504,60000.0,0.0,➖ 持平
2548,華固,0.0124,29600.0,0.0,➖ 持平
7722,LINEPAY,0.0019,1000.0,0.0,➖ 持平
1519,華城,0.0016,600.0,0.0,➖ 持平
2886,兆豐金,0.0001,1000.0,0.0,➖ 持平
2881,富邦金,0.0,250.0,0.0,➖ 持平
