股票代號,股票名稱,權重(%),持有股數,股數變化,狀態
2330,台積電,9.4171,1967000.0,0.0,➖ 持平
5536,聖暉*,8.6037,3716000.0,0.0,➖ 持平
2454,聯發科,6.4319,857000.0,0.0,➖ 持平
6139,亞翔,5.3137,3067000.0,0.0,➖ 持平
6223,旺矽,3.9997,307000.0,0.0,➖ 持平
4958,臻鼎-KY,3.9889,3147000.0,0.0,➖ 持平
2345,智邦,3.7468,794000.0,0.0,➖ 持平
6488,環球晶,3.3042,1134000.0,0.0,➖ 持平
2383,台光電,3.2782,326000.0,0.0,➖ 持平
3105,穩懋,3.276,4143000.0,0.0,➖ 持平
2360,致茂,2.9874,823000.0,0.0,➖ 持平
2059,川湖,2.9012,183000.0,0.0,➖ 持平
6669,緯穎,2.8904,297000.0,0.0,➖ 持平
2303,聯電,2.6868,8921000.0,0.0,➖ 持平
3491,昇達科,2.3906,967000.0,0.0,➖ 持平
6257,矽格,2.1289,4627000.0,0.0,➖ 持平
3264,欣銓,2.0431,4628000.0,0.0,➖ 持平
3017,奇鋐,1.7768,407000.0,0.0,➖ 持平
3583,辛耘,1.7215,1105000.0,0.0,➖ 持平
3008,大立光,1.6965,199000.0,0.0,➖ 持平
2467,志聖,1.6799,1439000.0,0.0,➖ 持平
2377,微星,1.6538,5638000.0,0.0,➖ 持平
2472,立隆電,1.5761,2342000.0,0.0,➖ 持平
8016,矽創,1.4019,2185000.0,0.0,➖ 持平
1785,光洋科,1.3807,5455000.0,0.0,➖ 持平
2327,國巨*,1.3513,844000.0,0.0,➖ 持平
6274,台燿,1.326,436000.0,0.0,➖ 持平
3711,日月光投控,1.3093,996000.0,0.0,➖ 持平
2316,楠梓電,1.2284,3375000.0,0.0,➖ 持平
3702,大聯大,1.2258,5340000.0,0.0,➖ 持平
6531,愛普*,1.216,694000.0,0.0,➖ 持平
7769,鴻勁,1.1972,91000.0,0.0,➖ 持平
3036,文曄,0.9393,2269000.0,0.0,➖ 持平
8996,高力,0.9148,376000.0,0.0,➖ 持平
6147,頎邦,0.8935,2300000.0,0.0,➖ 持平
2368,金像電,0.7914,386000.0,0.0,➖ 持平
6278,台表科,0.7674,2167000.0,0.0,➖ 持平
2351,順德,0.7021,1700000.0,800000.0,🔺 增加
2376,技嘉,0.6951,1056000.0,0.0,➖ 持平
6239,力成,0.4292,700000.0,0.0,➖ 持平
2885,元大金,0.2833,2114420.0,0.0,➖ 持平
5274,信驊,0.2626,9900.0,0.0,➖ 持平
2451,創見,0.2571,519000.0,0.0,➖ 持平
6187,萬潤,0.1848,91000.0,0.0,➖ 持平
3376,新日興,0.1366,359000.0,0.0,➖ 持平
6177,達麗,0.0175,194350.0,0.0,➖ 持平
3443,創意,0.0083,1000.0,0.0,➖ 持平
8046,南電,0.0024,1000.0,0.0,➖ 持平
4441,振大環球,0.0014,4000.0,0.0,➖ 持平
8358,金居,0.0009,1000.0,0.0,➖ 持平
1519,華城,0.0008,600.0,0.0,➖ 持平
3706,神達,0.0002,1400.0,0.0,➖ 持平
2886,兆豐金,0.0,1000.0,0.0,➖ 持平
2881,富邦金,0.0,250.0,0.0,➖ 持平
1319,東陽,,0.0,0.0,➖ 持平
2308,台達電,,0.0,0.0,➖ 持平
2313,華通,,0.0,0.0,➖ 持平
2317,鴻海,,0.0,0.0,➖ 持平
2347,聯強,,0.0,0.0,➖ 持平
2404,漢唐,,0.0,0.0,➖ 持平
2421,建準,,0.0,0.0,➖ 持平
2428,興勤,,0.0,0.0,➖ 持平
2441,超豐,,0.0,0.0,➖ 持平
2449,京元電子,,0.0,0.0,➖ 持平
2481,強茂,,0.0,0.0,➖ 持平
2548,華固,,0.0,0.0,➖ 持平
2606,裕民,,0.0,0.0,➖ 持平
3030,德律,,0.0,0.0,➖ 持平
3131,弘塑,,0.0,0.0,➖ 持平
3211,順達,,0.0,0.0,➖ 持平
3231,緯創,,0.0,0.0,➖ 持平
3324,雙鴻,,0.0,0.0,➖ 持平
3529,力旺,,0.0,0.0,➖ 持平
3533,嘉澤,,0.0,0.0,➖ 持平
3665,貿聯-KY,,0.0,0.0,➖ 持平
4938,和碩,,0.0,0.0,➖ 持平
5289,宜鼎,,0.0,0.0,➖ 持平
5425,台半,,0.0,0.0,➖ 持平
5439,高技,,0.0,0.0,➖ 持平
6285,啟碁,,0.0,0.0,➖ 持平
6446,藥華藥,,0.0,0.0,➖ 持平
6472,保瑞,,0.0,0.0,➖ 持平
6510,精測,,0.0,0.0,➖ 持平
6691,洋基工程,,0.0,0.0,➖ 持平
6768,志強-KY,,0.0,0.0,➖ 持平
6805,富世達,,0.0,0.0,➖ 持平
6831,邁科,,0.0,0.0,➖ 持平
7722,LINEPAY,,0.0,0.0,➖ 持平
8210,勤誠,,0.0,0.0,➖ 持平
8299,群聯,,0.0,0.0,➖ 持平
8464,億豐,,0.0,0.0,➖ 持平
9938,百和,,0.0,0.0,➖ 持平
