證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"4,000,000","8,820,000,000",13.374%
2383,台光電子,"1,330,000","5,738,950,000",8.702%
2408,南亞科技,"13,000,000","4,264,000,000",6.466%
2454,聯發科技,"1,080,000","3,493,800,000",5.298%
2327,國巨股份,"7,500,000","3,423,750,000",5.192%
2345,智邦科技,"1,700,000","3,289,500,000",4.988%
6223,旺矽科技,"680,000","3,264,000,000",4.949%
2059,川湖科技,"450,000","3,213,000,000",4.872%
3037,欣興電子,"4,250,000","3,043,000,000",4.614%
8046,南亞電路,"3,000,000","2,511,000,000",3.808%
6669,緯穎科技,"450,000","2,205,000,000",3.344%
6274,台燿科技,"2,150,000","2,171,500,000",3.293%
3711,日月光投,"4,200,000","2,121,000,000",3.216%
7769,鴻勁精密,"360,000","2,023,200,000",3.068%
3017,奇鋐科技,"900,000","1,899,000,000",2.880%
3189,景碩科技,"3,200,000","1,849,600,000",2.805%
8299,群聯電子,"1,200,000","1,794,000,000",2.720%
5274,信驊科技,"95,500","1,261,077,500",1.912%
2360,致茂電子,"660,000","1,260,600,000",1.911%
3026,禾伸堂企,"2,700,000","1,154,250,000",1.750%
3665,貿聯-KY,"590,000","1,126,900,000",1.709%
2308,台達電子,"660,000","1,009,800,000",1.531%
2404,漢唐集成,"799,000","806,990,000",1.224%
3008,大立光電,"1,000","3,715,000",0.006%
3653,健策精密,"1,000","3,135,000",0.005%
2382,廣達電腦,"9,000","2,511,000",0.004%
2317,鴻海精密,"9,000","2,065,500",0.003%
2603,長榮海運,"9,000","1,809,000",0.003%
2313,華通電腦,"9,253","1,424,962",0.002%
3231,緯創資通,"9,000","1,440,000",0.002%
5347,世界先進,"9,000","1,242,000",0.002%
2881,富邦金融,"9,000","1,116,000",0.002%
2882,國泰金融,"9,000","856,800",0.001%
2357,華碩電腦,"1,000","737,000",0.001%
2379,瑞昱半導,"1,000","697,000",0.001%
2885,元大金融,"9,000","567,900",0.001%
2891,中國信託,"9,000","567,900",0.001%
2886,兆豐金融,"9,000","463,500",0.001%
2884,玉山金融,"9,000","339,300",0.001%
2880,華南金融,"9,000","383,850",0.001%
2890,永豐金融,"9,000","349,650",0.001%
3044,健鼎科技,"1,000","342,000",0.001%
2449,京元電子,"1,450","295,075",0.000%
2887,台新新光,"9,000","298,350",0.000%
2883,凱基金融,"9,000","260,550",0.000%
2912,統一超商,"1,000","230,000",0.000%
3036,文曄科技,"1,000","183,500",0.000%
2412,中華電信,"1,000","140,500",0.000%
1216,統一企業,"1,000","75,600",0.000%
3045,台灣大哥,"1,000","114,000",0.000%
