證券代號,證券名稱,股數,金額,權重(%)
2330,台灣積體,"1,800,000","2,691,000,000",17.602%
8299,群聯電子,"650,000","838,500,000",5.485%
3665,貿聯-KY,"500,000","775,000,000",5.069%
3017,奇鋐科技,"500,000","750,000,000",4.906%
2383,台光電子,"440,000","743,600,000",4.864%
6669,緯穎科技,"170,000","720,800,000",4.715%
7769,鴻勁精密,"220,000","719,400,000",4.706%
2308,台達電子,"750,000","716,250,000",4.685%
2368,金像電子,"900,000","601,200,000",3.933%
2059,川湖科技,"150,000","556,500,000",3.640%
5274,信驊科技,"75,000","513,750,000",3.361%
2345,智邦科技,"420,000","499,800,000",3.269%
2408,南亞科技,"2,500,000","472,500,000",3.091%
6274,台燿科技,"900,000","448,200,000",2.932%
6223,旺矽科技,"180,000","414,900,000",2.714%
3653,健策精密,"148,000","407,000,000",2.662%
8210,勤誠興業,"420,000","404,880,000",2.648%
1519,華城電機,"510,000","399,330,000",2.612%
6805,富世達股,"250,000","396,250,000",2.592%
6781,AES-KY,"270,000","346,950,000",2.269%
3324,雙鴻科技,"220,000","224,400,000",1.468%
2317,鴻海精密,"650,000","145,600,000",0.952%
3231,緯創資通,"1,000,000","145,500,000",0.952%
6510,中華精測,"60,000","135,900,000",0.889%
2404,漢唐集成,"140,000","129,500,000",0.847%
2882,國泰金融,"1,300,000","98,670,000",0.645%
2891,中國信託,"1,960,000","98,588,000",0.645%
2885,元大金融,"2,450,000","98,245,000",0.643%
2881,富邦金融,"1,000,000","98,000,000",0.641%
3044,健鼎科技,"190,000","61,180,000",0.400%
3711,日月光投,"250,000","58,625,000",0.383%
2454,聯發科技,"40,000","55,200,000",0.361%
2449,京元電子,"250,000","54,750,000",0.358%
6515,穎崴科技,"20,000","52,700,000",0.345%
1605,華新麗華,"1,650,000","52,222,500",0.342%
8358,金居開發,"200,000","52,100,000",0.341%
6442,光紅建聖,"40,000","51,800,000",0.339%
1303,南亞塑膠,"850,000","49,385,000",0.323%
1590,亞德客-KY,"9,000","8,541,000",0.056%
8464,億豐綜合,"9,000","3,402,000",0.022%
3661,世芯-KY,"1,000","3,180,000",0.021%
1477,聚陽實業,"9,000","2,673,000",0.017%
2382,廣達電腦,"9,000","2,376,000",0.016%
3443,創意電子,"1,000","2,025,000",0.013%
3037,欣興電子,"9,000","1,953,000",0.013%
2603,長榮海運,"9,000","1,696,500",0.011%
2301,光寶科技,"9,000","1,489,500",0.010%
2645,長榮航太,"9,000","1,318,500",0.009%
5347,世界先進,"9,000","892,800",0.006%
3036,文曄科技,"1,000","142,500",0.001%
